company,industry,region,lead_source,job_title,current_plan,employees,annual_revenue_musd,trial_users,pricing_page_visits,daily_active_users,invited_teammates,webinar_attended,support_tickets,days_since_signup,email_opens,product_sessions,feature_events,buying_intent_score,icp_match_score,converted
SaaS Co 722,SaaS,India,LinkedIn,Manager,Enterprise,102,2.24,26,50,16,5,0,3,108,0,29,134,36,25,0
SaaS Co 723,SaaS,North America,Webinar,C-Level,Growth,1993,45.71,39,37,32,8,0,3,307,37,50,189,22,24,1
RealEstate Co 724,Real Estate,India,Referral,Individual Contributor,Growth,2110,80.61,40,23,33,3,1,8,356,18,87,29,58,69,0
EdTech Co 725,EdTech,North America,LinkedIn,C-Level,Growth,400,9.58,12,74,18,4,1,3,157,2,34,186,90,25,1
Healthcare Co 726,Healthcare,North America,Paid Ads,Director,Enterprise,522,18.04,40,7,9,17,0,8,200,11,56,208,78,97,0
Manufacturing Co 727,Manufacturing,LATAM,Webinar,Individual Contributor,Growth,336,8.76,53,63,19,2,0,0,123,30,69,212,98,50,0
RealEstate Co 728,Real Estate,North America,Partner,Director,Free Trial,358,11.93,46,55,7,13,0,5,381,14,50,138,67,45,0
Cybersecurity Co 729,Cybersecurity,Middle East,Organic Search,Manager,Growth,245,6.74,36,22,23,11,1,2,316,3,86,99,84,41,1
Manufacturing Co 730,Manufacturing,India,Partner,VP,Enterprise,947,18.49,13,15,9,17,0,0,213,12,71,148,70,10,0
Healthcare Co 731,Healthcare,Middle East,Paid Ads,Director,Starter,40,1.1,5,62,2,8,1,4,113,17,106,136,20,37,0
SaaS Co 732,SaaS,APAC,Paid Ads,VP,Free Trial,556,21.8,33,57,27,13,0,9,86,9,56,166,5,94,0
EdTech Co 733,EdTech,LATAM,Partner,VP,Free Trial,42,1.11,54,1,32,15,0,4,304,0,3,79,79,67,0
FinTech Co 734,FinTech,APAC,LinkedIn,Individual Contributor,Growth,196,5.38,30,72,17,18,1,2,3,21,46,96,91,75,1
Healthcare Co 735,Healthcare,India,Organic Search,Director,Enterprise,10,0.26,37,49,4,6,0,2,24,15,33,146,40,97,0
EdTech Co 736,EdTech,APAC,Referral,C-Level,Starter,1633,60.9,4,53,0,1,0,4,228,8,113,25,57,53,1
EdTech Co 737,EdTech,Middle East,LinkedIn,VP,Free Trial,204,7.85,21,84,20,0,0,2,105,37,128,101,7,10,0
FinTech Co 738,FinTech,Middle East,LinkedIn,C-Level,Enterprise,128,2.98,48,83,35,14,0,2,172,10,2,64,50,52,1
RealEstate Co 739,Real Estate,Europe,Paid Ads,C-Level,Enterprise,1078,23,9,75,11,0,1,1,139,11,80,58,43,30,0
Manufacturing Co 740,Manufacturing,LATAM,Webinar,VP,Growth,265,10.05,1,77,4,15,0,4,121,7,64,130,18,55,0
SaaS Co 741,SaaS,Europe,LinkedIn,Individual Contributor,Free Trial,83,1.5,2,19,6,15,0,7,206,0,81,25,94,13,0
EdTech Co 742,EdTech,India,Organic Search,Manager,Growth,877,34.04,37,46,28,12,0,6,178,13,61,61,41,45,1
Cybersecurity Co 743,Cybersecurity,Europe,Organic Search,VP,Starter,937,32.88,15,45,3,8,1,2,96,21,45,142,71,85,1
Manufacturing Co 744,Manufacturing,APAC,Partner,VP,Enterprise,45,1,29,38,6,5,0,6,169,27,50,34,44,67,0
FinTech Co 745,FinTech,North America,Paid Ads,VP,Starter,387,12.6,4,88,11,0,0,9,331,3,98,172,10,43,0
E-commerce Co 746,E-commerce,APAC,Email Campaign,Manager,Enterprise,129,3.72,27,57,14,0,0,2,244,3,75,147,27,65,0
EdTech Co 747,EdTech,Europe,Conference,Director,Growth,144,3.17,52,66,2,8,0,6,263,25,89,30,71,29,0
SaaS Co 748,SaaS,APAC,Paid Ads,Manager,Free Trial,431,7.22,23,11,26,13,0,1,341,35,109,30,75,39,0
RealEstate Co 749,Real Estate,Europe,Paid Ads,C-Level,Starter,7,0.24,54,7,19,7,0,3,168,1,40,146,13,37,0
Manufacturing Co 750,Manufacturing,APAC,Webinar,C-Level,Starter,2266,63.26,0,39,2,11,0,1,261,33,70,210,18,62,0
E-commerce Co 751,E-commerce,Europe,Webinar,C-Level,Growth,137,4.51,52,46,10,5,1,7,5,12,58,194,13,83,1
FinTech Co 752,FinTech,India,Conference,VP,Enterprise,1830,72.96,12,43,10,4,0,3,370,1,85,64,81,39,0
Cybersecurity Co 753,Cybersecurity,Europe,Email Campaign,Manager,Growth,623,5.56,23,77,6,15,0,0,67,38,57,97,87,60,1
Healthcare Co 754,Healthcare,LATAM,Email Campaign,Individual Contributor,Free Trial,74,1.95,5,57,0,1,0,1,362,19,66,154,58,80,0
Manufacturing Co 755,Manufacturing,Europe,Webinar,Director,Enterprise,1352,42.64,43,88,10,16,0,6,132,19,57,178,73,70,0
SaaS Co 756,SaaS,APAC,Partner,Individual Contributor,Free Trial,635,8.42,31,41,4,17,0,1,215,20,96,97,83,70,0
Cybersecurity Co 757,Cybersecurity,LATAM,Referral,VP,Free Trial,36,1.11,29,52,6,0,0,2,369,13,100,33,93,66,1
RealEstate Co 758,Real Estate,India,LinkedIn,Manager,Growth,920,24.3,2,86,5,13,0,3,213,25,71,209,72,23,0
Cybersecurity Co 759,Cybersecurity,North America,Email Campaign,VP,Free Trial,151,2.98,15,45,2,18,0,0,328,38,35,201,98,81,1
E-commerce Co 760,E-commerce,India,Paid Ads,Individual Contributor,Free Trial,21,0.77,34,26,36,2,0,7,143,10,49,161,33,92,0
Cybersecurity Co 761,Cybersecurity,LATAM,Referral,VP,Starter,357,4.16,1,72,6,8,1,9,231,12,55,74,74,16,1
EdTech Co 762,EdTech,APAC,Organic Search,C-Level,Growth,419,15.74,44,61,13,1,0,3,393,17,61,141,7,16,0
Cybersecurity Co 763,Cybersecurity,LATAM,Partner,Individual Contributor,Enterprise,8,0.1,10,84,12,15,1,3,277,33,16,197,58,19,0
FinTech Co 764,FinTech,North America,Email Campaign,VP,Free Trial,1020,17.32,48,70,34,9,0,5,282,34,0,117,27,29,0
RealEstate Co 765,Real Estate,North America,Paid Ads,VP,Starter,3401,128.03,0,27,5,15,1,6,270,14,48,13,41,38,0
EdTech Co 766,EdTech,APAC,Organic Search,Individual Contributor,Growth,256,4.91,20,15,26,3,1,3,211,15,7,164,77,6,0
EdTech Co 767,EdTech,LATAM,Conference,Individual Contributor,Starter,101,2.67,49,66,23,6,0,7,276,14,32,17,33,61,0
Cybersecurity Co 768,Cybersecurity,Middle East,Webinar,C-Level,Growth,143,2.1,14,28,0,16,0,4,314,9,95,179,20,11,0
Cybersecurity Co 769,Cybersecurity,APAC,LinkedIn,Individual Contributor,Growth,6,0.19,18,0,15,4,0,1,327,15,110,168,38,48,0
Manufacturing Co 770,Manufacturing,North America,Webinar,VP,Enterprise,3121,38.57,36,33,25,0,1,5,244,29,55,3,15,21,0
Manufacturing Co 771,Manufacturing,Europe,Conference,Director,Free Trial,280,9.94,38,8,25,2,0,6,268,0,87,186,73,94,0
SaaS Co 772,SaaS,Middle East,Webinar,VP,Starter,664,9.39,13,35,13,3,0,5,27,14,3,139,36,83,1
E-commerce Co 773,E-commerce,Middle East,Webinar,Director,Starter,61,1.29,7,31,13,9,1,8,26,20,23,44,23,30,0
EdTech Co 774,EdTech,India,Partner,VP,Enterprise,53,0.71,31,64,34,17,0,3,108,21,69,173,75,46,0
EdTech Co 775,EdTech,North America,Webinar,Individual Contributor,Growth,86,2.84,55,54,22,16,0,9,112,18,23,25,6,45,0
Manufacturing Co 776,Manufacturing,Middle East,Paid Ads,C-Level,Enterprise,512,4.45,29,0,19,15,0,1,192,17,40,140,36,68,0
EdTech Co 777,EdTech,India,Webinar,Individual Contributor,Starter,137,3.07,11,59,14,17,0,2,294,35,130,135,53,12,0
Cybersecurity Co 778,Cybersecurity,Middle East,Partner,Manager,Free Trial,29,0.33,26,28,29,11,0,7,46,11,82,129,35,57,0
RealEstate Co 779,Real Estate,LATAM,Organic Search,Director,Enterprise,10,0.34,27,2,28,3,1,2,111,18,58,79,68,38,0
Healthcare Co 780,Healthcare,LATAM,Paid Ads,Director,Enterprise,8,0.18,18,48,19,8,0,4,46,13,100,134,46,11,0
Healthcare Co 781,Healthcare,APAC,Conference,C-Level,Free Trial,151,3.99,9,52,14,18,0,2,399,13,66,130,79,43,0
Healthcare Co 782,Healthcare,Europe,Organic Search,Manager,Enterprise,30,0.8,7,53,14,14,1,7,312,34,12,214,6,19,0
E-commerce Co 783,E-commerce,APAC,Referral,VP,Free Trial,66,2.27,42,45,17,1,1,4,183,38,37,86,69,47,1
FinTech Co 784,FinTech,LATAM,Organic Search,Individual Contributor,Growth,355,11.55,23,41,12,17,0,6,137,21,71,13,34,40,0
Healthcare Co 785,Healthcare,Middle East,LinkedIn,Manager,Growth,31,0.75,17,79,16,8,1,7,329,27,41,11,72,35,1
Healthcare Co 786,Healthcare,India,LinkedIn,Individual Contributor,Growth,38,0.8,6,31,12,15,0,9,184,34,41,173,18,41,0
EdTech Co 787,EdTech,APAC,Organic Search,Director,Free Trial,1653,19.96,4,7,8,12,0,1,251,19,11,76,24,14,0
Cybersecurity Co 788,Cybersecurity,Middle East,Partner,C-Level,Free Trial,310,8.47,19,78,20,2,1,2,281,27,96,186,68,65,1
E-commerce Co 789,E-commerce,Europe,Organic Search,Manager,Growth,1490,26.57,46,4,39,0,0,2,317,14,24,49,47,5,0
SaaS Co 790,SaaS,LATAM,Organic Search,Individual Contributor,Growth,273,8.63,46,43,16,9,0,6,278,10,130,68,15,48,0
FinTech Co 791,FinTech,Europe,Email Campaign,Individual Contributor,Enterprise,8,0.3,20,55,27,8,0,4,346,33,118,123,50,80,0
RealEstate Co 792,Real Estate,APAC,Partner,VP,Enterprise,321,4.05,47,19,7,16,1,6,312,9,0,106,83,28,0
SaaS Co 793,SaaS,Europe,LinkedIn,VP,Growth,278,5.83,44,13,2,10,0,1,357,32,51,96,78,16,1
SaaS Co 794,SaaS,North America,LinkedIn,C-Level,Free Trial,2661,69.65,19,60,19,14,1,9,81,33,125,170,16,22,1
E-commerce Co 795,E-commerce,LATAM,Conference,Director,Growth,117,4.66,53,46,28,11,0,0,6,19,118,59,48,78,0
Healthcare Co 796,Healthcare,Europe,Webinar,VP,Starter,441,9.6,38,41,31,0,0,4,118,25,130,173,21,59,1
FinTech Co 797,FinTech,Middle East,Referral,C-Level,Free Trial,7,0.21,38,88,34,1,0,0,380,37,14,209,23,65,1
RealEstate Co 798,Real Estate,North America,Partner,VP,Growth,56,0.79,21,46,25,8,0,0,303,21,65,196,96,23,0
RealEstate Co 799,Real Estate,LATAM,Referral,Manager,Starter,18,0.35,37,1,27,12,1,0,288,22,63,124,14,47,0
Healthcare Co 800,Healthcare,India,Paid Ads,C-Level,Enterprise,2590,90.11,13,86,13,2,0,8,280,17,3,169,82,13,0
RealEstate Co 801,Real Estate,APAC,Organic Search,Director,Free Trial,1846,52.49,36,82,36,8,0,7,3,7,90,17,41,33,0
SaaS Co 802,SaaS,APAC,Paid Ads,Manager,Growth,51,0.73,55,57,14,11,0,1,177,0,48,219,87,77,0
SaaS Co 803,SaaS,Europe,Paid Ads,Director,Starter,79,1.39,55,15,20,14,0,8,73,26,68,157,77,28,0
Cybersecurity Co 804,Cybersecurity,Middle East,Conference,VP,Enterprise,183,6.15,43,72,8,10,1,6,365,11,54,111,75,40,1
Healthcare Co 805,Healthcare,North America,Email Campaign,VP,Enterprise,18,0.31,51,90,14,5,0,7,249,15,3,100,16,28,0
E-commerce Co 806,E-commerce,APAC,Referral,Individual Contributor,Starter,678,23.36,24,9,8,11,0,5,138,23,123,15,58,92,0
Manufacturing Co 807,Manufacturing,LATAM,Partner,Individual Contributor,Starter,28,0.44,32,32,27,17,1,3,367,4,68,70,86,72,0
Cybersecurity Co 808,Cybersecurity,Europe,Partner,C-Level,Enterprise,7,0.08,11,4,7,1,0,9,26,28,35,183,81,29,1
RealEstate Co 809,Real Estate,LATAM,Paid Ads,C-Level,Growth,366,3.63,33,40,34,2,1,5,135,26,79,159,79,72,0
SaaS Co 810,SaaS,APAC,Organic Search,C-Level,Starter,14,0.16,31,16,16,16,1,7,62,36,119,57,48,32,1
Manufacturing Co 811,Manufacturing,India,Conference,Director,Enterprise,42,1.43,54,33,39,17,1,4,107,34,102,78,56,18,0
Healthcare Co 812,Healthcare,North America,Partner,VP,Enterprise,441,17.48,46,3,14,16,1,5,34,22,109,21,92,70,1
Healthcare Co 813,Healthcare,LATAM,Paid Ads,Manager,Enterprise,11,0.13,47,83,6,1,1,3,330,8,18,116,86,35,0
RealEstate Co 814,Real Estate,Europe,Partner,Individual Contributor,Free Trial,64,0.52,21,80,10,15,0,5,81,19,16,123,50,27,0
FinTech Co 815,FinTech,APAC,Conference,Individual Contributor,Free Trial,71,2.46,20,40,10,1,1,9,200,18,5,113,27,38,0
Cybersecurity Co 816,Cybersecurity,Middle East,Partner,C-Level,Enterprise,42,1.27,17,32,25,15,0,1,133,15,113,189,52,38,0
FinTech Co 817,FinTech,Europe,Webinar,Director,Growth,149,5.13,29,49,35,18,0,3,379,35,101,206,80,83,1
Cybersecurity Co 818,Cybersecurity,Middle East,Organic Search,VP,Starter,752,15.4,11,38,0,12,0,5,206,4,122,165,23,11,0
Manufacturing Co 819,Manufacturing,India,Webinar,VP,Free Trial,191,3.93,45,11,15,14,1,8,75,25,15,8,85,14,0
FinTech Co 820,FinTech,APAC,LinkedIn,C-Level,Starter,28,0.57,8,34,1,3,0,4,24,30,4,215,92,35,0
E-commerce Co 821,E-commerce,North America,Paid Ads,Director,Enterprise,6,0.18,4,69,12,4,0,4,40,0,9,118,72,32,0
EdTech Co 822,EdTech,APAC,LinkedIn,VP,Enterprise,178,4.28,5,4,10,15,0,8,35,19,74,32,58,14,0
Healthcare Co 823,Healthcare,APAC,Organic Search,VP,Free Trial,148,1.66,18,78,5,1,0,4,108,33,79,88,16,12,0
SaaS Co 824,SaaS,India,Email Campaign,Manager,Free Trial,12,0.32,10,30,3,16,1,7,297,34,95,67,99,16,0
EdTech Co 825,EdTech,India,Partner,VP,Starter,237,7.46,39,6,22,8,0,5,274,0,77,159,54,33,0
FinTech Co 826,FinTech,North America,LinkedIn,Individual Contributor,Enterprise,142,4.97,52,56,11,3,0,4,341,21,11,152,73,17,1
Cybersecurity Co 827,Cybersecurity,APAC,Organic Search,Manager,Enterprise,36,0.87,37,16,11,6,0,1,297,5,120,152,95,42,0
Healthcare Co 828,Healthcare,Middle East,Email Campaign,Individual Contributor,Free Trial,1244,39.16,31,78,38,10,1,1,4,29,40,80,57,78,0
FinTech Co 829,FinTech,India,Organic Search,C-Level,Growth,1699,28.95,54,38,38,15,0,3,384,7,106,99,47,89,1
E-commerce Co 830,E-commerce,Middle East,Organic Search,Director,Growth,1312,41.59,45,49,34,18,1,0,197,34,96,41,88,37,0
EdTech Co 831,EdTech,India,Conference,C-Level,Growth,29,0.43,4,54,10,2,0,9,166,22,102,122,93,54,0
FinTech Co 832,FinTech,North America,Referral,Director,Free Trial,277,5.21,7,27,4,8,0,1,320,16,117,106,69,71,1
E-commerce Co 833,E-commerce,India,Referral,VP,Starter,10,0.24,8,43,9,13,0,6,338,3,82,16,15,45,0
Healthcare Co 834,Healthcare,Europe,Referral,Individual Contributor,Starter,907,28.8,53,34,34,5,0,4,240,4,18,93,91,55,0
FinTech Co 835,FinTech,APAC,Email Campaign,C-Level,Free Trial,55,1.14,9,61,5,17,0,4,198,12,34,64,99,43,1
E-commerce Co 836,E-commerce,LATAM,Conference,Manager,Starter,684,25.82,12,15,17,1,1,6,95,17,78,88,10,69,0
EdTech Co 837,EdTech,India,Conference,VP,Growth,611,12.25,43,27,33,4,0,9,184,22,58,66,56,50,0
EdTech Co 838,EdTech,North America,Conference,Manager,Enterprise,37,0.31,47,56,11,15,0,4,334,19,70,59,31,32,0
E-commerce Co 839,E-commerce,LATAM,Partner,C-Level,Free Trial,74,1.46,52,47,39,18,1,7,105,7,16,116,80,90,0
E-commerce Co 840,E-commerce,North America,Conference,Director,Growth,8,0.3,34,3,15,5,0,0,54,9,77,197,11,97,0
RealEstate Co 841,Real Estate,India,Conference,C-Level,Enterprise,17,0.46,6,89,0,12,0,1,360,38,32,137,69,97,0
Manufacturing Co 842,Manufacturing,India,Conference,Director,Free Trial,203,3.45,12,31,9,15,0,8,364,34,15,82,55,63,0
FinTech Co 843,FinTech,Middle East,Partner,VP,Growth,36,0.87,14,53,21,4,0,9,11,38,42,5,100,50,0
RealEstate Co 844,Real Estate,APAC,Referral,Individual Contributor,Free Trial,329,13.16,1,29,0,0,0,5,29,10,80,101,24,30,0
SaaS Co 845,SaaS,India,Webinar,Director,Free Trial,115,2.21,5,70,13,7,0,8,311,21,87,107,89,16,1
E-commerce Co 846,E-commerce,Europe,Partner,Director,Growth,26,0.34,47,27,17,6,1,8,299,6,49,94,90,98,0
FinTech Co 847,FinTech,LATAM,Paid Ads,Individual Contributor,Enterprise,200,6.15,22,89,2,10,0,3,236,23,120,138,58,97,0
Healthcare Co 848,Healthcare,India,Referral,Individual Contributor,Starter,613,16.23,36,69,28,9,0,7,141,37,26,48,87,66,0
FinTech Co 849,FinTech,Middle East,Conference,VP,Growth,98,3.33,30,16,33,17,0,1,129,36,62,143,36,97,1
E-commerce Co 850,E-commerce,Middle East,Conference,Director,Growth,6,0.15,1,18,3,18,0,7,184,18,8,35,75,10,0
Healthcare Co 851,Healthcare,India,Conference,VP,Free Trial,351,10.49,33,42,24,2,0,6,332,6,49,157,26,88,0
FinTech Co 852,FinTech,LATAM,Paid Ads,Director,Free Trial,39,1.33,54,13,24,8,1,1,345,11,33,9,100,50,0
Healthcare Co 853,Healthcare,LATAM,Conference,Individual Contributor,Growth,1603,46.78,39,20,28,6,1,2,292,13,21,118,23,64,0
SaaS Co 854,SaaS,APAC,Referral,C-Level,Starter,14,0.26,22,42,22,9,0,3,296,9,94,214,41,52,1
RealEstate Co 855,Real Estate,LATAM,Paid Ads,Individual Contributor,Starter,21,0.29,33,63,29,12,0,6,198,35,88,186,98,79,0
E-commerce Co 856,E-commerce,Middle East,Referral,Manager,Enterprise,911,8.12,12,18,16,16,0,8,301,38,18,66,83,41,0
Manufacturing Co 857,Manufacturing,Europe,Paid Ads,Director,Free Trial,543,6.63,20,71,28,17,0,5,88,3,35,27,57,48,0
RealEstate Co 858,Real Estate,North America,Paid Ads,Individual Contributor,Enterprise,400,9.73,43,87,24,13,1,1,298,38,46,121,29,6,0
FinTech Co 859,FinTech,LATAM,LinkedIn,Manager,Growth,1712,64.45,10,36,5,0,0,4,83,6,90,109,99,75,0
FinTech Co 860,FinTech,Middle East,Email Campaign,Individual Contributor,Free Trial,15,0.34,50,58,21,1,0,6,163,16,27,56,99,29,0
RealEstate Co 861,Real Estate,LATAM,Conference,VP,Growth,2381,43.86,52,73,39,0,1,2,131,24,112,94,21,18,0
Cybersecurity Co 862,Cybersecurity,Europe,Partner,Individual Contributor,Starter,46,0.53,40,13,28,12,0,7,76,13,12,76,20,33,0
Cybersecurity Co 863,Cybersecurity,Europe,LinkedIn,Director,Free Trial,33,0.67,26,77,28,15,0,4,73,35,83,180,29,63,1
E-commerce Co 864,E-commerce,North America,Partner,Manager,Starter,15,0.35,52,7,27,18,1,4,45,18,2,77,33,45,0
FinTech Co 865,FinTech,India,Conference,Director,Free Trial,1125,44.01,34,49,26,0,0,8,16,27,33,46,24,50,1
SaaS Co 866,SaaS,India,Organic Search,Manager,Enterprise,26,0.6,33,11,38,5,1,0,14,13,48,191,94,8,1
EdTech Co 867,EdTech,Middle East,Conference,Manager,Free Trial,13,0.45,26,71,32,15,0,8,294,10,22,48,96,100,0
EdTech Co 868,EdTech,India,Referral,Director,Starter,3289,80.65,15,48,7,15,1,4,152,29,83,106,35,82,0
Cybersecurity Co 869,Cybersecurity,India,Paid Ads,Director,Starter,32,1.01,9,7,16,8,1,1,126,30,35,55,48,44,0
Healthcare Co 870,Healthcare,Europe,Email Campaign,Individual Contributor,Starter,29,0.44,6,67,8,12,0,3,316,27,26,190,15,29,0
Cybersecurity Co 871,Cybersecurity,Europe,Webinar,VP,Free Trial,335,4.64,40,30,35,11,1,2,305,0,47,176,54,56,1
FinTech Co 872,FinTech,India,LinkedIn,Manager,Enterprise,439,9.79,22,2,12,17,1,1,270,24,6,21,99,58,1
SaaS Co 873,SaaS,North America,Email Campaign,Manager,Growth,21,0.52,41,16,26,3,0,5,174,13,18,20,15,20,0
EdTech Co 874,EdTech,North America,Conference,C-Level,Growth,7,0.22,25,10,10,15,0,3,37,19,0,44,84,43,0
SaaS Co 875,SaaS,Middle East,LinkedIn,C-Level,Starter,132,2.1,47,34,38,6,1,4,215,16,23,86,85,63,1
Manufacturing Co 876,Manufacturing,Middle East,Referral,Individual Contributor,Free Trial,24,0.6,4,3,0,16,0,4,12,5,116,18,15,72,0
FinTech Co 877,FinTech,India,Organic Search,Director,Enterprise,271,6.93,24,65,15,13,0,4,314,0,128,216,86,39,1
RealEstate Co 878,Real Estate,Europe,Referral,Director,Free Trial,199,2.55,18,0,26,0,1,8,269,8,124,192,59,93,0
Healthcare Co 879,Healthcare,Europe,Organic Search,Manager,Starter,339,10.65,41,84,32,0,1,9,106,2,21,156,15,62,0
SaaS Co 880,SaaS,Europe,Referral,VP,Free Trial,1339,35.03,51,50,36,9,0,3,303,6,61,86,19,40,1
EdTech Co 881,EdTech,APAC,Organic Search,Director,Growth,21,0.35,19,60,20,13,0,3,298,4,41,45,46,67,0
EdTech Co 882,EdTech,APAC,Email Campaign,Director,Enterprise,19,0.35,11,38,15,5,0,3,237,32,52,206,26,81,0
EdTech Co 883,EdTech,India,LinkedIn,Manager,Growth,6,0.18,4,42,7,10,0,6,160,17,35,31,16,83,0
Cybersecurity Co 884,Cybersecurity,Middle East,LinkedIn,C-Level,Enterprise,136,5.41,40,28,34,10,0,8,329,32,61,160,75,98,1
RealEstate Co 885,Real Estate,APAC,Organic Search,VP,Starter,616,10.31,51,0,38,1,1,9,238,5,74,86,38,20,0
FinTech Co 886,FinTech,APAC,Partner,C-Level,Starter,456,13.26,22,51,6,14,1,4,285,2,21,103,20,74,0
EdTech Co 887,EdTech,APAC,Referral,Director,Enterprise,106,1.98,19,6,27,6,1,7,104,15,113,165,89,98,1
Cybersecurity Co 888,Cybersecurity,Middle East,Partner,Director,Free Trial,508,16.09,2,81,10,15,0,0,264,0,91,118,63,49,1
Healthcare Co 889,Healthcare,APAC,Paid Ads,Manager,Free Trial,8,0.24,28,86,2,7,1,2,150,20,10,187,51,66,0
Manufacturing Co 890,Manufacturing,Europe,Referral,Director,Starter,1692,57.33,25,69,4,4,0,7,118,18,66,92,79,36,1
Healthcare Co 891,Healthcare,Middle East,Referral,Director,Free Trial,345,10.4,33,47,38,18,0,1,214,2,0,70,93,33,1
FinTech Co 892,FinTech,APAC,Organic Search,VP,Enterprise,38,0.61,17,41,2,10,0,7,157,29,62,89,85,72,0
Healthcare Co 893,Healthcare,Middle East,LinkedIn,C-Level,Starter,21,0.26,27,57,7,7,0,6,272,32,82,81,82,12,1
Manufacturing Co 894,Manufacturing,Europe,Referral,Director,Growth,188,2.14,21,64,20,0,0,8,279,31,93,92,51,27,0
E-commerce Co 895,E-commerce,Europe,Email Campaign,VP,Free Trial,217,7.74,47,39,3,1,0,6,103,30,89,20,61,8,0
Healthcare Co 896,Healthcare,APAC,Webinar,Manager,Enterprise,8,0.26,27,73,8,3,0,7,326,36,108,198,26,52,0
Manufacturing Co 897,Manufacturing,North America,Email Campaign,Manager,Starter,23,0.31,26,74,5,7,0,3,155,21,115,92,49,72,0
SaaS Co 898,SaaS,North America,Organic Search,C-Level,Growth,104,2.4,43,90,39,3,0,4,269,0,120,106,70,55,1
EdTech Co 899,EdTech,Middle East,Webinar,Director,Enterprise,12,0.46,2,51,6,14,1,0,113,37,113,187,81,69,1
Cybersecurity Co 900,Cybersecurity,APAC,Conference,Manager,Growth,7,0.16,42,10,29,15,0,9,175,20,44,79,62,5,0
FinTech Co 901,FinTech,LATAM,Webinar,VP,Growth,41,0.59,2,80,10,7,0,8,154,27,115,183,43,62,0
EdTech Co 902,EdTech,LATAM,Referral,C-Level,Free Trial,11,0.33,27,43,25,8,0,6,21,13,3,28,78,72,1
Manufacturing Co 903,Manufacturing,India,Email Campaign,C-Level,Free Trial,23,0.56,36,81,30,7,1,3,121,1,123,104,37,32,0
RealEstate Co 904,Real Estate,India,LinkedIn,Individual Contributor,Starter,2172,82.86,37,11,29,8,1,4,292,14,32,155,53,72,0
Healthcare Co 905,Healthcare,Europe,Email Campaign,Director,Growth,415,8.44,0,17,6,5,1,3,94,8,35,39,94,36,0
FinTech Co 906,FinTech,Europe,Webinar,Manager,Enterprise,33,0.91,16,58,2,16,1,0,87,2,26,72,99,69,1
Cybersecurity Co 907,Cybersecurity,North America,Email Campaign,Manager,Enterprise,10,0.09,7,87,10,8,0,4,245,22,34,157,31,11,0
E-commerce Co 908,E-commerce,North America,Email Campaign,C-Level,Enterprise,26,0.5,29,25,27,7,1,0,279,14,78,159,68,7,0
Healthcare Co 909,Healthcare,APAC,Conference,VP,Free Trial,56,1.93,50,70,27,15,0,3,365,16,30,94,85,47,1
Cybersecurity Co 910,Cybersecurity,LATAM,Organic Search,C-Level,Starter,5,0.13,49,24,0,1,0,7,364,8,46,54,25,74,0
Healthcare Co 911,Healthcare,LATAM,LinkedIn,VP,Growth,297,8.5,38,49,37,8,1,6,163,7,40,55,70,23,0
Cybersecurity Co 912,Cybersecurity,Europe,Webinar,Individual Contributor,Enterprise,6,0.11,16,48,16,10,0,8,192,4,72,134,21,65,1
Cybersecurity Co 913,Cybersecurity,North America,Webinar,VP,Starter,171,6.58,10,59,13,5,0,2,331,25,107,176,52,54,1
FinTech Co 914,FinTech,India,Paid Ads,Director,Free Trial,18,0.53,42,33,4,14,0,9,154,19,68,42,56,96,0
SaaS Co 915,SaaS,APAC,Email Campaign,VP,Enterprise,1024,27.28,4,24,4,7,0,0,354,29,99,67,30,22,0
FinTech Co 916,FinTech,APAC,Conference,Individual Contributor,Starter,977,21.95,48,43,8,6,0,3,245,30,120,111,80,29,0
Cybersecurity Co 917,Cybersecurity,North America,Webinar,Manager,Free Trial,21,0.45,51,37,4,2,0,0,267,19,75,189,94,30,1
RealEstate Co 918,Real Estate,Middle East,LinkedIn,Individual Contributor,Enterprise,289,10.49,42,76,15,15,0,7,255,2,115,213,49,36,0
SaaS Co 919,SaaS,Europe,Email Campaign,C-Level,Enterprise,1209,16.69,47,22,3,1,1,5,84,22,46,105,44,90,1
EdTech Co 920,EdTech,North America,Organic Search,Manager,Free Trial,727,15.02,10,34,3,8,1,5,277,17,95,3,61,39,0
Cybersecurity Co 921,Cybersecurity,India,Webinar,Manager,Starter,47,0.58,43,33,40,0,0,9,144,18,63,131,85,83,0
EdTech Co 922,EdTech,LATAM,Webinar,C-Level,Starter,13,0.33,20,13,20,4,1,7,257,16,91,215,49,28,0
FinTech Co 923,FinTech,APAC,LinkedIn,Director,Starter,39,1.21,50,27,38,9,0,6,93,16,10,202,22,35,1
Manufacturing Co 924,Manufacturing,India,Email Campaign,Director,Starter,69,2.59,44,12,5,13,0,6,394,14,114,160,86,13,0
EdTech Co 925,EdTech,APAC,Webinar,Director,Growth,76,1.79,45,31,14,0,1,9,371,36,86,75,85,57,0
Cybersecurity Co 926,Cybersecurity,Europe,Email Campaign,C-Level,Enterprise,100,1.04,25,54,13,5,0,4,385,33,108,88,71,31,1
Cybersecurity Co 927,Cybersecurity,LATAM,Organic Search,VP,Enterprise,195,1.74,44,63,12,4,0,2,291,28,56,172,54,54,0
EdTech Co 928,EdTech,North America,LinkedIn,Director,Enterprise,7,0.24,48,38,5,13,1,4,15,32,80,206,90,66,0
